outing_duration_hr,total_distance_m,max_deviation_from_home_m,return_time_diff_min,stay_outside_living_area_min
1.65,2207.9,5.0,-3.7,0.0
1.46,2168.0,5.0,1.8,0.0
1.69,1677.7,20.2,-13.5,0.0
1.96,2513.5,24.5,-9.7,0.0
1.43,1576.2,5.0,12.0,0.0
1.43,1611.2,55.0,-6.6,0.0
1.97,2193.1,5.0,-10.5,0.0
1.73,1852.0,15.6,5.4,0.0
1.36,1640.9,24.7,11.9,0.0
1.66,1788.1,41.0,7.2,0.0
1.36,1688.4,25.0,10.0,0.0
1.36,1622.1,32.4,-7.6,0.0
1.57,1830.7,8.3,-14.2,0.0
0.93,985.2,33.7,15.0,0.0
0.98,1094.0,5.0,-3.2,0.0
1.33,1748.4,45.0,-2.5,0.0
1.2,1525.3,15.9,13.3,0.0
1.59,1679.4,34.0,5.6,0.0
1.23,1491.4,12.0,4.6,0.0
1.08,1412.9,20.6,21.7,0.0
1.94,1841.9,14.9,-6.4,0.0
1.43,1835.5,26.3,9.3,0.0
1.52,1673.2,5.0,0.6,0.0
1.07,1378.9,5.0,2.7,0.0
1.34,1451.0,5.7,15.3,0.0
1.53,1424.8,5.0,5.1,0.0
1.15,1103.7,41.1,5.4,0.0
1.61,1946.9,5.0,10.7,0.0
1.32,1635.2,74.5,-3.6,0.0
1.41,1503.4,8.2,-8.4,0.0
1.32,1709.8,5.0,-10.4,0.0
2.06,1954.5,31.2,-19.7,0.0
1.5,1780.3,21.5,20.6,0.0
1.18,1204.4,13.8,-11.0,0.0
1.75,1925.3,16.2,-2.2,0.0
1.13,1368.6,25.4,-2.8,0.0
1.56,1673.5,5.2,3.1,0.0
0.91,1041.9,80.0,8.2,0.0
1.1,1488.1,73.6,8.6,0.0
1.56,1736.0,21.0,-5.8,0.0
1.72,2281.6,5.0,-1.7,0.0
1.55,1598.8,22.8,2.8,0.0
1.47,1874.8,5.0,-2.5,0.0
1.41,1996.4,5.0,16.1,0.0
1.06,876.1,6.0,4.9,0.0
1.28,1387.4,12.4,7.3,0.0
1.36,1752.0,40.5,6.6,0.0
1.82,2125.2,26.0,11.7,0.0
1.6,2012.9,27.2,1.8,0.0
